제목
2025학년도 1학기 국가장학금 지원대상(1~9구간) 확대 안내
"첫 학기 이후, 튜터 없이 혼자 많이 힘드셨죠? 방통대 출신 사설 튜터가 함께합니다 :)"
"여자 AI 엔지니어 등, 2시간 참여 40만원 지급"
2024학년 2학기 기말시험 관련
🍀25학번 신편입생 필독사항
연극동아리 극예술연구회 '2024 동문 현역 합동공연'에 초대합니다.
부산지역대 방송대 컴퓨터과학과 교재 구입에 대해 게시합니다
학교 이메일계정 재사용이요 정지되 있네요
MyKnou 학사정보 시스템 과제물 제출 매뉴얼
"컴퓨터과학과 1학년 1학기, 2학기 교재 팔아요 "
"[공지] 내일 11월 5일 09시 30분부터 기말시험(일시,장소) 신청이 시작됩니다~ / "
[K-MOOC] <컴퓨터로 여는 미래사회> 2학기 강좌
2024학년도 2학기 기말시험 시행 공고
서울지역대학  동아리인의 축제로 초대합니다.
🍀크로바 네이버 카페
서울지역대학 동아리인의 축제 제28회 잣골제
★기출문제집/강의록 제본 제작 모집★
[온라인 특강] 앱 개발자 특강 안내
"[KISIA] 2024년도 ICT융합산업보안 인력양성사업 10,11월 교육생 모집"
제24회 대학생 프로그래밍 경시대회 개최 안내 
[한국정보보호산업협회] 2024 미래내일일경험 지원사업 *한국화웨이기술* 기업탐방(9.11
서울서부학습센터 재학생 밴드(서울서부학생회) 모임 안내!!
[안내] DSA_일본ICT직무 취업기회와 CDP성장사례 세미나 홍보
경기 북부 지역 컴퓨터 학과 스터디 모임
[과기부 주관/SW개발자 대환영] AI반도체 기술인재 선발대회 모집(~8/30까지 지원가능
2024년 미래내일경험 지원사업
[KNOU  CS] 공식스터디 Growth Log (그로스로그) 2기 신입회원을 모집합니다
"★ 사회복지사, 보육교사, 평생교육사, 한국어교원 과정 모집 (온라인과정) ★"
 그린컴퓨터 아카데미
인천지역대학 부천시 학습관 오리엔테이션 안내드립니다~
2024 정보보호 정책제안 공모전>
컴퓨터과학 재입학생입니다 옛 교재 사용가능할까요?
RE:컴퓨터과학 재입학생입니다 옛 교재 사용가능할까요?
