제목
"💕 공부만큼은 확실히 잡아주는 국어국문학과 명품 스터디, [뚝섬스터디] 💕"
2025학년도 1학기 국가장학금 지원대상(1~9구간) 확대 안내
"첫 학기 이후, 튜터 없이 혼자 많이 힘드셨죠? 방통대 출신 사설 튜터가 함께합니다 :)"
🍀25학번 신편입생 필독사항
연극동아리 극예술연구회 '2024 동문 현역 합동공연'에 초대합니다.
책을 구합니다.
내년입학예정인데
MyKnou 학사정보 시스템 과제물 제출 매뉴얼
◆◆ ♬ 2024년 제17회 방송대 합창단 정기연주회 ♬◆◆
'종로스터디 라온하제'는 입학부터 졸업까지 함께합니다.
"[공지] 내일 11월 5일 09시 30분부터 기말시험(일시,장소) 신청이 시작됩니다~ / "
"서울지역대학 국어국문학과 전통의 명문 ""고전강독회"" 스터디로 오세요"
강의를 열정적으로 하시는것은 좋으나
3학년 2학기 서울지역대학 출석수업 한국근현대문학사 과제 주제 공유 요청
RE:3학년 2학기 서울지역대학 출석수업 한국근현대문학사 과제 주제 공유 요청
3학년2학기 서울지역대학 출석수업 과제물 과제 공유해주세요
RE:3학년2학기 서울지역대학 출석수업 과제물 과제 공유해주세요
2024년 총장배 문연(文淵) 학술·문학상 발표는?
RE:2024년 총장배 문연(文淵) 학술·문학상 발표는?
2024학년도 2학기 기말시험 시행 공고
서울지역대학  동아리인의 축제로 초대합니다.
🍀크로바 네이버 카페
"서울지역대학 국어국문학과 전통의 명문 ""고전강독회"" 스터디로 오세요"
서울지역대학 동아리인의 축제 제28회 잣골제
국문학개론 
RE:국문학개론 
맞춤법과 표준어 비대면강의 과제물 파일 있으신분 도와주세요
<문우사랑> 동아리에서 10월 1일과 3일 [현대소설론} 특강이 있습니다.
★기출문제집/강의록 제본 제작 모집★
'종로스터디 라온하제'는 입학부터 졸업까지 함께합니다.
"3학년 교재 있으신 선배님! (국어학개론, 근현대문학사,한국문학과 대중문화,맞춤법과 표준어"
RE:(인간과 교육) 중간과제물 질문 있습니다. 
♡♥국어국문학과 스터디 <문우사랑>에서 [중세국어] 특강이 있습니다.
"💕 공부만큼은 확실히 잡아주는 국어국문학과 명품 스터디, [뚝섬스터디] 💕"
"서울지역대학 국어국문학과 전통의 명문 ""고전강독회"" 스터디로 오세요"
♡♥ <문우사랑> 스터디에서  2학년 전공과목 [맞춤법과 표준어] 수업이 있습니
♧ '종로스터디  라온하제' 에서 입학부터 졸업까지 함께합니다 ♧
급>교재 팝니다.2학년-취미와예술
한국어교육학개론 과제 어느 교수님께 문의하나요?
♡♥ [고전의 이해와 감상] 요점 정리 궁금하시면 <문우사랑>동아리로 오세요^^
연극동아리 '극예술연구회'에서 신입회원을 모집합니다.
서울서부학습센터 재학생 밴드(서울서부학생회) 모임 안내!!
방송대 난타동아리 두드림 회원 을 모집합니다 
♥♡[문우사랑] 동아리에서 전문강사님을 모시고 '과제물특강'을 진행합니다
출석 과제물 어디서 확인 가능한가요?
RE:출석 과제물 어디서 확인 가능한가요?
대구 경북 지역대학 선배님 특강 
'종로스터디 라온하제'는 입학부터 졸업까지 함께합니다.
💕 국어국문학과 '2학기 신편입생 OT' 및 [과제물작성법 무료 특강]
"💕 공부만큼은 확실히 잡아주는 국어국문학과 명품 스터디, [뚝섬스터디] 💕"
토지1~5권
♥♡ <문어사랑>동아리방에서 [국어학개론] 특강이 있습니다.
"현대시론/근현대문학사/성 사랑 사회/일본의시와노래/색채와디자인_교재 구합니다. (카톡, 메"
국문과 4학년2학기 교재팝니다
교명 변경에 대한 단상/  대학원에 박사과정 개설 기대
[일단 시작한 방송대 생활🙌]처음부터 졸업까지 알기쉽게 설명해 드립니다😌
"💕 공부만큼은 확실히 잡아주는 국어국문학과 명품 스터디, [뚝섬스터디] 💕"
★24학번 신편입생 필독사항
♥♡ <문우사랑>스터디에서 알려드립니다.
"서울지역대학 국어국문학과 전통의 명문 ""고전강독회"" 스터디로 오세요"
"♥♡ 8월 15일 광복절, <문우사랑>동아리에서 특강이 있습니다."
💕 국어국문학과 '2학기 신편입생 OT' 및 [과제물작성법 무료 특강]
"💕 공부만큼은 확실히 잡아주는 국어국문학과 명품 스터디, [뚝섬스터디] 💕"
남부학습센터 목동 학습동아리 <문우사랑> 오리엔테이션 안내
시·소설 창작동아리 『풀밭동인회』 2학기 신입회원 모집
'종로스터디 라온하제'는 입학부터 졸업까지 함께합니다.
♥♡ [문우사랑] 스터디에서 안내 드립니다.
2024학년도 2학기의 주요 공지사항과 신편입생 오리엔테이션
3학년2학기 책 구합니다.
맞춤법과 표준어 책 구합니다..!
"전통의 명문 스터디 국어국문학과  ""고전강독회"" "
"교재 구합니다.  한국어교육학개론, 언어와의미, 사회복지와문화다양성,생명공학과 인간의이해,"
♣♣스터디 [문우사랑]에서 O.T. 안내 드립니다.
"💕 공부만큼은 확실히 잡아주는 국어국문학과 명품 스터디, [뚝섬스터디] 💕"
💕 국어국문학과 '2학기 신편입생 OT' 및 [과제물작성법 무료 특강]
